p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.5555362278939437,0.299,0.082,0,1,RHOG
0,2.5504818347739056,0.874,0.408,0,1,JUNB
0,2.5485456710853978,0.278,0.08,0,1,VPS37B
1.967083543331523e-279,2.547519910967325,0.145,0.042,8.232244628842424e-275,1,RAB27A
0,2.543332148891579,0.201,0.05,0,1,CSRNP1
2.24324644192017e-286,2.541562608187648,0.264,0.127,9.387986359435912e-282,1,CORO1B
0,2.5372101610304925,0.151,0.041,0,1,SHFL
0,2.5299178215593647,0.214,0.041,0,1,DOCK8
0,2.5209089422933846,0.553,0.097,0,1,IFITM2
0,2.514714098438578,0.35,0.063,0,1,ITGB2
0,2.49771216920591,0.152,0.033,0,1,CCDC88C
0,2.4905520015293896,0.463,0.153,0,1,DDIT4
2.047779071391379e-265,2.473661110380137,0.241,0.111,8.569955413772922e-261,1,CCNH
0,2.4722366140008942,0.143,0.027,0,1,KLRD1
0,2.470608957639423,0.41,0.137,0,1,ID2
0,2.4681367238561487,0.391,0.126,0,1,LBH
0,2.4611367352613955,0.352,0.131,0,1,CD55
0,2.451988398410296,0.45,0.145,0,1,CDC42SE2
0,2.438497494640796,0.14,0.033,0,1,FERMT3
0,2.4266041096135726,0.516,0.227,0,1,DNAJB1
0,2.4233302797772875,0.827,0.509,0,1,BTG1
0,2.4130983065503626,0.262,0.06,0,1,SP100
0,2.4078272675821197,0.612,0.081,0,1,CD37
0,2.4039344163222536,0.471,0.154,0,1,REL
0,2.400661926818248,0.293,0.085,0,1,ARID5B
0,2.395703593328208,0.239,0.074,0,1,FMNL1
0,2.3944591498841103,0.572,0.134,0,1,S100A10
0,2.387617033269926,0.142,0.032,0,1,GSDMD
9.485438892911836e-282,2.3328172066005717,0.19,0.069,3.969656176683603e-277,1,ZBTB1
0,2.329258908995158,0.246,0.063,0,1,FOSL2
0,2.3284075806480287,0.461,0.14,0,1,COTL1
0,2.3278080864394304,0.31,0.152,0,1,TOB1
0,2.3211946033037565,0.322,0.127,0,1,SMAP2
0,2.313810355664912,0.246,0.077,0,1,OSTF1
0,2.3083653060777616,0.611,0.125,0,1,ZFP36
3.004657553024725e-225,2.3059922027470954,0.179,0.072,1.2574491859408474e-220,1,CHMP4A
0,2.2945767430504667,0.447,0.16,0,1,LITAF
6.471863506470911e-211,2.2918173011335723,0.167,0.066,2.708474877458076e-206,1,RNF166
