IMR5	SHEP	SKNAS	SY5Y
ENSG00000236648.1	0	3	0	0
ENSG00000278471.1	0	0	0	0
ENSG00000117148.7	67	2	0	59
ENSG00000261781.1	0	0	0	0
ENSG00000117154.10	17	2	2	28
ENSG00000280222.1	12	2	0	6
ENSG00000230035.2	0	0	0	0
ENSG00000225387.1	0	0	0	0
ENSG00000179023.8	10	6	65	58
ENSG00000235282.3	0	0	0	0
ENSG00000225478.2	0	0	0	0
ENSG00000009709.10	190	119	77	43
ENSG00000179002.5	0	0	0	0
ENSG00000255275.3	4	0	1	2
ENSG00000159423.15	586	275	517	936
ENSG00000265606.1	0	0	0	0
ENSG00000221662.1	0	0	0	2
ENSG00000169991.9	642	657	1053	442
ENSG00000272084.1	177	53	61	146
ENSG00000127481.13	8243	5597	9439	6296
ENSG00000230424.1	9	9	8	12
ENSG00000127463.12	3382	2976	3944	2303
ENSG00000053372.4	2650	2421	2145	2400
ENSG00000211454.12	159	45	87	108
ENSG00000162482.4	77	35	48	48
ENSG00000270728.1	95	35	69	76
ENSG00000053371.11	1088	818	1076	889
ENSG00000200403.1	6	0	5	7
ENSG00000040487.11	870	978	809	667
ENSG00000077549.16	2177	1948	2538	1932
ENSG00000240490.3	2	0	1	4
ENSG00000201609.1	0	0	0	0
ENSG00000235185.1	1	0	2	0
ENSG00000173436.12	414	213	380	395
ENSG00000270136.4	0	0	2	0
ENSG00000226396.1	96	53	82	62
ENSG00000158747.12	144	274	430	127
ENSG00000158748.3	0	2	10	0
ENSG00000162542.12	63	342	474	104
ENSG00000178828.6	0	0	0	0
ENSG00000235434.1	0	0	0	0
ENSG00000169914.5	979	416	711	666
ENSG00000188784.4	0	1	2	4
ENSG00000242688.3	0	0	0	0
ENSG00000188257.9	15	2	4	78
ENSG00000127472.9	13	2	0	2
ENSG00000117215.13	1	23	2	0
ENSG00000158786.4	0	0	0	0
ENSG00000227066.1	0	0	0	0
ENSG00000187980.6	0	2	0	0
ENSG00000225986.1	0	0	0	0
ENSG00000162543.5	2	0	2	2
ENSG00000228105.1	0	0	0	0
ENSG00000158816.14	1	0	0	4
ENSG00000226664.1	0	0	0	0
ENSG00000236963.4	2	0	2	0
ENSG00000226487.1	0	0	0	0
ENSG00000162545.5	435	519	1076	238
ENSG00000090432.6	1411	1519	1651	1001
ENSG00000215520.3	0	0	0	0
ENSG00000183114.7	4	4	4	4
ENSG00000158825.5	29	319	24	18
ENSG00000158828.5	360	714	469	394
ENSG00000273695.1	0	0	0	0
ENSG00000117242.7	215	225	301	173
ENSG00000244038.8	2152	2252	2507	1845
ENSG00000117245.11	290	39	111	140
ENSG00000235432.1	7	0	3	6
ENSG00000189410.10	55	202	172	39
ENSG00000233069.1	0	0	0	0
ENSG00000127483.16	3223	2278	3634	2660
ENSG00000075151.18	2904	2161	3800	2037
ENSG00000251914.1	0	0	0	1
ENSG00000221808.1	5	0	6	2
ENSG00000233072.1	36	16	18	30
ENSG00000236073.2	10	1	6	2
ENSG00000235112.1	20	6	12	17
ENSG00000117298.13	3129	6152	5192	2233
ENSG00000236936.1	4	5	21	12
ENSG00000231105.1	44	39	35	37
ENSG00000236216.5	0	0	0	0
ENSG00000228823.1	0	0	0	0
ENSG00000236009.1	0	0	0	0
ENSG00000227001.3	6	19	19	19
ENSG00000187952.9	11	2	68	6
ENSG00000186543.7	0	0	0	0
ENSG00000142794.17	322	316	488	275
ENSG00000176378.8	1	0	0	0
ENSG00000162551.12	1766	552	2349	521
ENSG00000233431.1	0	2	2	3
ENSG00000221781.1	0	0	0	0
ENSG00000076864.18	431	751	97	427
ENSG00000090686.14	2110	1595	2066	1582
ENSG00000281866.1	0	0	0	0
ENSG00000231978.2	4	4	2	5
ENSG00000187942.10	49	10	34	17
ENSG00000142798.15	10913	5825	13727	3732
ENSG00000232037.3	13	0	11	1
ENSG00000219073.6	0	0	1	0
ENSG00000273610.1	0	0	0	0
ENSG00000201919.1	0	0	0	0
ENSG00000142789.18	2	0	1	0
ENSG00000278124.1	0	0	0	0
ENSG00000201273.1	0	0	0	0
ENSG00000228397.1	16	4	28	4
ENSG00000218510.5	613	374	361	452
ENSG00000070831.14	2424	2266	2543	2117
ENSG00000230068.2	28	9	14	8
ENSG00000271428.1	13	6	10	18
